"CodigoEstacion,""CodigoSensor"",""FechaObservacion"",""ValorObservado"",""NombreEstacion"",""Departamento"",""Municipio"",""ZonaHidrografica"",""Latitud"",""Longitud"",""DescripcionSensor"",""UnidadMedida"""
"0048015050,""0240"",""2024 Jan 01 10:20:00 PM"",""1,22"",""AEROPUERTO VASQUEZ COBO"",""AMAZONAS"",""LETICIA"",""AMAZONAS - DIRECTOS"",""-4,19386111"",""-69,94091667"",""PRECIPITACIÓN"",""mm"""
"0048015050,""0257"",""2024 Jan 01 09:56:00 PM"",""0,1"",""AEROPUERTO VASQUEZ COBO"",""AMAZONAS"",""LETICIA"",""AMAZONAS - DIRECTOS"",""-4,19386111"",""-69,94091667"",""GPRS - PRECIPITACIÓN"",""mm"""
"0048015050,""0257"",""2024 Jan 01 01:46:00 PM"",""0,2"",""AEROPUERTO VASQUEZ COBO"",""AMAZONAS"",""LETICIA"",""AMAZONAS - DIRECTOS"",""-4,19386111"",""-69,94091667"",""GPRS - PRECIPITACIÓN"",""mm"""
"0029045190,""0257"",""2024 Jan 01 04:08:00 PM"",""0,1"",""AEROPUERTO E. CORTISSOZ"",""ATLANTICO"",""SOLEDAD"",""BAJO MAGDALENA"",""10,91777778"",""-74,77972222"",""GPRS - PRECIPITACIÓN"",""mm"""
"0025025380,""0240"",""2024 Jan 01 01:40:00 PM"",""0,1"",""SAN BENITO"",""SUCRE"",""SAN BENITO ABAD"",""BAJO MAGDALENA- CAUCA -SAN JORGE"",""9,16388889"",""-75,04472222"",""PRECIPITACIÓN"",""mm"""
"0054025010,""0240"",""2024 Jan 01 05:40:00 PM"",""6,7"",""SAN JOSE PALMAR"",""CHOCÓ"",""NÓVITA"",""SAN JUÁN"",""4,89808333"",""-76,67666667"",""PRECIPITACIÓN"",""mm"""
"0029047000,""0240"",""2024 Jan 01 01:10:00 PM"",""0,11"",""TEBSA BQUILLA"",""ATLANTICO"",""SOLEDAD"",""BAJO MAGDALENA"",""10,93663889"",""-74,75988889"",""PRECIPITACIÓN"",""mm"""
"0048015050,""0240"",""2024 Jan 01 06:00:00 PM"",""1,42"",""AEROPUERTO VASQUEZ COBO"",""AMAZONAS"",""LETICIA"",""AMAZONAS - DIRECTOS"",""-4,19386111"",""-69,94091667"",""PRECIPITACIÓN"",""mm"""
"0029045190,""0257"",""2024 Jan 01 04:14:00 PM"",""0,1"",""AEROPUERTO E. CORTISSOZ"",""ATLANTICO"",""SOLEDAD"",""BAJO MAGDALENA"",""10,91777778"",""-74,77972222"",""GPRS - PRECIPITACIÓN"",""mm"""
"0048015050,""0257"",""2024 Jan 01 06:24:00 PM"",""0,2"",""AEROPUERTO VASQUEZ COBO"",""AMAZONAS"",""LETICIA"",""AMAZONAS - DIRECTOS"",""-4,19386111"",""-69,94091667"",""GPRS - PRECIPITACIÓN"",""mm"""
"0029045190,""0240"",""2024 Jan 01 06:10:00 PM"",""0,34"",""AEROPUERTO E. CORTISSOZ"",""ATLANTICO"",""SOLEDAD"",""BAJO MAGDALENA"",""10,91777778"",""-74,77972222"",""PRECIPITACIÓN"",""mm"""
"0029045190,""0257"",""2024 Jan 01 05:40:00 PM"",""0,1"",""AEROPUERTO E. CORTISSOZ"",""ATLANTICO"",""SOLEDAD"",""BAJO MAGDALENA"",""10,91777778"",""-74,77972222"",""GPRS - PRECIPITACIÓN"",""mm"""
